"Your order has been canceled because payment decline.","Votre commande a été annulée à cause d'un refus du paiement."
"Your order has been canceled because you have canceled the payment process.","Votre commande a été annulée parce que vous avez annulé le processus de paiement."
"Continue to Hipay Wallet","Payer avec Hipay Wallet"
"Payment error, please try again","Erreur de paiement, veuillez réessayer"
"Payment exception","Erreur lors du paiement"
